Player,ano,GPos40,cp1,altura,peso,40yd
Brian Bonner,2008,g3,23.5700104639886,180.34,88.904032,4.61
Jordan Hicks,2015,g2,4.73679646103463,185.42,107.047712,4.68
Thomas Welch,2010,g1,-29.5799980146395,198.12,139.252744,5.42
Antwaun Molden,2008,g3,21.4649737094832,185.42,89.811216,4.39
Isaac Seumalo,2016,g1,-26.5945308786368,193.04,137.438376,5.19
Jamal Adams,2017,g3,15.0338338440089,182.88,97.068688,4.56
Bill Swancutt,2005,g2,-12.0674295839315,193.04,122.46984,5
DeAndra Cobb,2005,g3,24.1823136504926,177.8,88.904032,4.49
Donatella Luckett,2015,g3,16.3544794162549,182.88,95.707912,4.4
Syndric Steptoe,2007,g3,25.675047218494,175.26,87.996848,4.59
Daniel Graham,2002,g2,-1.7703922009572,190.5,112.490816,4.64
Taylor Dever,2012,g1,-25.0057581113976,195.58,135.170416,5.4
Taurean Henderson,2006,g3,21.2728953110075,175.26,92.532768,4.62
Eric Reid,2013,g3,14.8617458482535,185.42,96.615096,4.53
Laken Tomlinson,2015,g1,-34.7865315071057,190.5,146.510216,5.33
Mark Barron,2012,g3,14.8617458482535,185.42,96.615096,4.54
Tristan Wirfs,2020,g1,-34.6904923078679,195.58,145.14944,4.85
Connor McGovern,2016,g1,-27.9151764508828,193.04,138.799152,5.11
Chris Lacy,2018,g3,17.1588610012346,190.5,92.98636,4.51
Paul Fanaika,2009,g1,-37.7719986431084,195.58,148.324584,5.48
Dan Dawson,2002,g3,12.2204547037616,185.42,99.336648,4.57
Robert Alford,2013,g3,27.7040351764818,177.8,85.275296,4.39
Jonas Gray,2012,g3,12.2965035002792,177.8,101.151016,4.58
Dominique Robertson,2016,g1,-36.4513530708624,195.58,146.963808,5.36
Alvin Bailey,2013,g1,-29.9441644088706,190.5,141.520704,4.95
Tanner Muse,2020,g3,8.08642999126841,187.96,102.965384,4.41
A.Q. Shipley,2009,g1,-25.1978365098733,185.42,137.891968,5.19
Bryan Mattison,2008,g2,-20.2594302124004,190.5,131.54168,5.05
Quandre Diggs,2015,g3,24.7946168369967,175.26,88.904032,4.56
Aviante Collins,2017,g1,-23.0728093526476,193.04,133.80964,4.81
Albert McClellan,2010,g2,-0.105570637200479,185.42,112.037224,4.75
Wesley Britt,2005,g1,-33.8861107228881,203.2,142.427888,5.2
Teyo Johnson,2003,g3,-2.55478338321664,195.58,112.037224,4.61
Paul Soliai,2007,g1,-44.6433536993313,193.04,156.035648,5.1
Genard Avery,2018,g2,-0.545785827949126,185.42,112.490816,4.59
Scoota Harris,2020,g2,6.22953002903597,182.88,106.140528,4.69
Ronnie Rivers,2022,g3,25.8471352142494,172.72,88.45044,4.6
Winston Justice,2006,g1,-34.8625803036233,198.12,144.695848,5.16
Todd Blythe,2008,g3,11.9723179114887,195.58,97.068688,4.65
Eric Downing,2001,g1,-25.5420125013841,190.5,136.984784,5.23
Chris Worley,2018,g2,3.24406289303329,187.96,107.954896,4.86
D.K. Metcalf,2019,g3,7.03391161401573,190.5,103.418976,4.33
Steve Savoy,2005,g3,25.3308712269832,180.34,87.089664,4.62
Brandon Spikes,2010,g2,-2.21060739170585,190.5,112.944408,5.05
Jordan Cameron,2011,g2,-5.63628971845717,195.58,115.212368,4.53
Greg Blue,2006,g3,12.9287970895035,187.96,97.975872,4.57
Derrick Shelby,2012,g2,-9.69426563443285,190.5,120.655472,4.87
Quinton Patton,2013,g3,19.4359857514954,182.88,92.532768,4.53
Jarron Jones,2017,g1,-33.5419347313773,198.12,143.335072,5.33
Vince Biegel,2017,g2,-0.889961819459908,190.5,111.583632,4.67
Darrian Miller,2015,g1,-28.9676948281355,195.58,139.252744,5.51
Kevin Austin Jr.,2022,g3,19.9722401414819,187.96,90.7184,4.43
Caleb Brantley,2017,g1,-27.7430884551274,190.5,139.252744,5.14
Kory Sheets,2009,g3,18.2874281750048,180.34,94.347136,4.39
Jeremy Kerley,2011,g3,27.8761231722372,175.26,85.728888,4.56
Bryan Bulaga,2010,g1,-32.049201163376,195.58,142.427888,5.2
Haloti Ngata,2006,g1,-42.0020625548395,193.04,153.314096,5.13
Jordan Zumwalt,2014,g2,3.34010209227116,193.04,106.59412,4.76
Johnathan Hankins,2013,g1,-33.4658859348598,190.5,145.14944,5.31
D.J. Swearinger,2013,g3,18.8997313615089,177.8,94.347136,4.67
Zach Strief,2006,g1,-40.9295537748664,203.2,149.68536,5.38
Jeff Allen,2012,g1,-28.3553916416314,193.04,139.252744,5.17
Jonathan Casillas,2009,g2,8.2585179870238,185.42,103.418976,4.5
Marshall Williams,2011,g3,25.8671256169697,185.42,85.275296,4.56
Darnell Bing,2006,g3,8.08642999126841,187.96,102.965384,4.53
Jaleel Johnson,2017,g1,-31.7050251718652,190.5,143.335072,5.38
Lamar Mady,2013,g1,-31.5329371761098,187.96,143.788664,5.48
Marcus Smith,2014,g2,-3.09103777320314,190.5,113.851592,4.66
Chuck Clark,2017,g3,17.6751249885008,182.88,94.347136,4.54
Lamin Barrow,2014,g2,4.29658127028598,185.42,107.501304,4.64
Leonard Peters,2007,g3,16.1823914204995,185.42,95.25432,4.8
Daniel Fells,2006,g2,-6.61275929919232,190.5,117.480328,4.95
Brandon Linder,2014,g1,-31.3408587776341,198.12,141.067112,5.35
John Brown,2014,g3,31.6659718932196,177.8,81.192968,4.34
Cody Grimm,2010,g3,20.4885041287481,180.34,92.079176,4.55
Orie Lemon,2011,g2,2.09550531654276,185.42,109.769264,4.87
DeAngelo Lloyd,2001,g2,-10.0384416259436,195.58,119.748288,4.88
Gabe Nyenhuis,2004,g2,-11.0149112066788,190.5,122.016248,4.74
Terence Steele,2020,g1,-31.7810739683827,198.12,141.520704,5.03
Bilal Powell,2011,g3,19.3399465522575,177.8,93.893544,4.51
John Howell,2001,g3,19.4359857514954,182.88,92.532768,4.64
Jamil Demby,2018,g1,-33.6379739306152,193.04,144.695848,5.58
Stewart Bradley,2007,g2,-5.02398653195312,193.04,115.212368,4.72
Montez Sweat,2019,g2,-8.88988404945309,198.12,117.93392,4.41
JaJuan Dawson,2000,g3,21.0247585187346,185.42,90.264808,4.55
Jerome Murphy,2010,g3,22.9577072774845,182.88,88.904032,4.5
Scott Mruczkowski,2005,g1,-34.5184043121124,193.04,145.603032,5.29
Trevor Guyton,2012,g2,-18.0583542586571,190.5,129.27372,5.01
Derrell Smith,2011,g2,2.26759331229816,182.88,110.222856,4.76
Michael Okwo,2007,g2,7.7222635970373,180.34,105.233344,4.7
Rufus Brown,2004,g3,28.7565535537345,175.26,84.821704,4.43
Maurice Canady,2016,g3,23.6660496632264,185.42,87.543256,4.49
