Player,ano,GPosBJ,cp1,altura,peso,Broad Jump
Brad Meester,2000,g9,-23.7811517383895,190.5,135.170416,279.4
Nate Burleson,2003,g7,22.5174920867359,182.88,89.357624,320.04
Tim Bulman,2005,g9,-22.0202909753949,190.5,133.356048,292.1
Rich Alexis,2004,g8,16.7946946070035,182.88,95.25432,289.56
Dominique Robinson,2022,g8,-5.19607452770852,195.58,114.758776,307.34
Quinton Carter,2011,g7,17.0628218019967,185.42,94.347136,307.34
Zack Wagenmann,2015,g8,-1.33017701020856,190.5,112.037224,276.86
Jason Spriggs,2016,g9,-26.9387068701476,198.12,136.531192,292.1
Grayland Arnold,2020,g7,29.1967687444831,175.26,84.368112,304.8
Marshall Newhouse,2010,g9,-33.6379739306152,193.04,144.695848,246.38
Brian Jackson,2010,g7,19.7041129464886,185.42,91.625584,304.8
Joshua Kalu,2018,g7,22.7856192817292,185.42,88.45044,340.36
Hjalte Froholdt,2019,g9,-28.5274796373868,195.58,138.799152,266.7
Jerome Lane,2017,g7,8.52664518201706,187.96,102.511792,317.5
Myron Pryor,2009,g9,-31.188761184599,182.88,144.695848,271.78
Mike Jackson,2019,g7,16.1823914204995,185.42,95.25432,330.2
Xzavier Dickson,2015,g8,-7.05297448994097,190.5,117.93392,254
C.J. Wilson,2007,g7,22.7856192817292,185.42,88.45044,322.58
Jamarca Sanford,2009,g7,16.258440217017,177.8,97.068688,294.64
Jon Bradley,2004,g9,-26.0782668913706,185.42,138.799152,264.16
Dunta Robinson,2004,g7,27.9721623714751,180.34,84.368112,304.8
Da'Norris Searcy,2011,g7,11.6842003137751,180.34,101.151016,304.8
Nick Steitz,2005,g9,-29.9441644088706,190.5,141.520704,251.46
Trevor Penning,2022,g9,-38.1161746346192,200.66,147.4174,281.94
Johnnie Morant,2004,g7,5.98139323676304,193.04,103.872568,330.2
Alec Ogletree,2013,g8,1.48320213003872,187.96,109.769264,309.88
Myles Garrett,2017,g8,-12.9478599654288,193.04,123.377024,325.12
Dee Milliner,2013,g7,20.7566313237413,182.88,91.171992,309.88
David Anderson,2006,g7,25.9431744134872,177.8,87.089664,294.64
DeVante Parker,2015,g7,15.39800023824,190.5,94.800728,317.5
Jarius Wright,2012,g7,30.3453263209737,177.8,82.553744,304.8
Johnny Thomas,2012,g7,19.7801617430062,177.8,93.439952,312.42
