Player,ano,GPosBench,cp1,altura,peso,Bench
Kevin Burnett,2005,g5,2.19154451578061,190.5,108.408488,20
Jordan Matthews,2014,g6,14.0773546659941,190.5,96.161504,21
Gerris Wilkinson,2006,g5,4.83283566027249,190.5,105.686936,19
Snoop Conner,2022,g6,12.7367186910278,177.8,100.697424,25
Nate Theaker,2017,g4,-32.4894163541246,195.58,142.88148,23
Michael Joseph,2018,g6,28.9486319522102,185.42,82.100152,17
Kelvin Benjamin,2014,g6,0.526722952023892,195.58,108.86208,13
Cliff Avril,2008,g5,-3.97146815470044,190.5,114.758776,27
Sylvester Williams,2013,g4,-30.3843795996193,190.5,141.974296,27
Courtney Anderson,2004,g5,-12.8518207661909,198.12,122.016248,17
Deon Grant,2000,g6,16.0103034247441,187.96,94.800728,15
Brian Allen,2017,g6,12.7567090937481,190.5,97.52228,15
Chad Pugh,2004,g4,-33.9061011256084,190.5,145.603032,19
L.J. Collier,2019,g4,-16.5656206906558,187.96,128.366536,25
Joey Haynos,2008,g5,-9.67427523171252,203.2,117.480328,17
Donte Whitner,2006,g6,20.6605921245034,177.8,92.532768,18
Dan Connolly,2005,g4,-30.116252404626,193.04,141.067112,22
Sam Young,2010,g4,-34.7665411043854,203.2,143.335072,29
Kyle Fuller,2014,g6,25.5989984219764,182.88,86.18248,12
Travis Rudolph,2017,g6,26.0392136127251,182.88,85.728888,12
Justin King,2008,g6,25.3308712269832,180.34,87.089664,14
Atcheson Conway,2005,g6,14.0573642632737,177.8,99.336648,14
Brett Pierce,2004,g5,-3.87542895546258,195.58,113.398,19
Devonte Peterson,2001,g5,-13.6562023511707,190.5,124.7378,31
Michael Toudouze,2006,g4,-27.8191372516449,198.12,137.438376,23
Earnest Graham,2003,g6,12.0283763052859,175.26,102.0582,22
Darrell Strong,2008,g5,-11.1869992024342,193.04,121.562656,17
Ken Webster,2019,g6,20.4885041287481,180.34,92.079176,18
Scott Starks,2005,g6,35.9720846014682,172.72,78.017824,13
A.J. Hawk,2006,g5,-0.545785827949126,185.42,112.490816,24
Ryon Bingham,2004,g4,-25.9822276921328,190.5,137.438376,33
Max Tuerk,2016,g4,-25.0057581113976,195.58,135.170416,22
Tony Moeaki,2010,g5,-0.449746628711261,190.5,111.13004,18
Keith Toston,2010,g6,15.4740490347576,182.88,96.615096,22
Xavier Woods,2017,g6,23.1297952732399,180.34,89.357624,19
Chastin West,2010,g6,15.9142642255062,182.88,96.161504,15
Mike Jackson,2019,g6,16.1823914204995,185.42,95.25432,13
Shawn Crable,2008,g5,-1.67435300171934,195.58,111.13004,29
Tavares Gooden,2008,g5,5.61722684253192,185.42,106.140528,22
Dietrich Canterberry,2004,g4,-28.183303645876,190.5,139.706336,26
Za'Darius Smith,2015,g5,-13.8282903469261,193.04,124.284208,23
Tedric Thompson,2017,g6,19.4359857514954,182.88,92.532768,17
Gerald McRath,2009,g5,6.32556922827382,187.96,104.779752,19
Quan Sturdivant,2011,g5,2.5357205072914,185.42,109.315672,21
Kavell Conner,2010,g5,2.7078085030468,182.88,109.769264,24
Derrick Nnadi,2018,g4,-30.9206339896058,185.42,143.788664,25
James Washington,2018,g6,16.0863522212616,180.34,96.615096,14
Tyler Orlosky,2017,g4,-23.7811517383895,190.5,135.170416,24
Keith Lewis,2004,g6,19.4359857514954,182.88,92.532768,11
Will Ofenheusle,2003,g4,-30.0202132053881,198.12,139.706336,23
Alex Linnenkohl,2011,g4,-25.8101396963774,187.96,137.891968,24
Clint Boling,2011,g4,-29.4079100188841,195.58,139.706336,28
Marc Colombo,2002,g4,-33.4458955321395,203.2,141.974296,30
Lavelle Westbrooks,2014,g6,27.9721623714751,180.34,84.368112,15
Quinton Coples,2012,g5,-19.4550486274206,198.12,128.820128,25
Tim Euhus,2004,g5,-8.27758086294905,195.58,117.93392,25
Keenan Burton,2008,g6,20.7566313237413,182.88,91.171992,10
Jason Peters,2004,g5,-41.1216321733422,193.04,152.406912,21
