Player,Pos,School,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano,altura,peso,GPos40,GPosBench,GPosBJ,GPos3CONE,cp1
Sherrod Gideon,WR,Southern Miss,4.66,,,,,,2000,180.34,78.471416,g3,g6,g7,g12,33.6949598512075
Ian Gold,OLB,Michigan,4.56,83.82,21,292.1,6.97,4.19,2000,185.42,100.243832,g2,g5,g8,g11,11.3400243222643
Dwayne Goodrich,CB,Tennessee,4.45,,,,,,2000,180.34,88.45044,g3,g6,g7,g12,24.0102256547372
Lamar Grant,CB,Duke,4.62,81.28,16,297.18,7.3,4.3,2000,180.34,85.275296,g3,g6,g7,g12,27.0917319899778
Deon Grant,S,Tennessee,4.5,,15,,,,2000,187.96,94.800728,g3,g6,g7,g12,16.0103034247441
Ernest Grant,DT,Ark-Pine Bluff,5.31,74.93,24,248.92,8,5.03,2000,195.58,143.335072,g1,g4,g9,g10,-32.9296315448733
Jonathan Gray,OT,Texas Tech,5.85,58.42,20,238.76,,,2000,193.04,153.314096,g1,g4,g9,g10,-42.0020625548395
Brian Gray,CB,BYU,4.94,85.09,19,294.64,7.38,4.24,2000,185.42,97.068688,g3,g6,g7,g12,14.4215306575049
Barrett Green,OLB,West Virginia,4.56,91.44,22,304.8,,,2000,182.88,105.686936,g2,g5,g8,g11,6.66974521978461
Mike Green,S,NW State (LA),4.53,97.79,,299.72,,4.2,2000,182.88,85.728888,g3,g6,g7,g12,26.0392136127251
Damian Gregory,DT,Illinois State,4.87,76.2,27,266.7,7.37,4.6,2000,187.96,139.252744,g1,g4,g9,g10,-27.1307852686233
Cornelius Griffin,DE,Alabama,4.9,78.74,30,281.94,7.63,4.62,2000,190.5,134.716824,g2,g5,g8,g11,-23.3409365476409
Clark Haggans,OLB,Colorado State,4.97,80.01,20,276.86,7.12,4.21,2000,190.5,114.758776,g2,g5,g8,g11,-3.97146815470044
Ricky Hall,WR,Virginia Tech,4.52,,,,,,2000,187.96,93.439952,g3,g6,g7,g12,17.33094899699
Dante' Hall,RB,Texas A&M,4.44,96.52,18,312.42,6.62,3.82,2000,172.72,86.636072,g3,g6,g8,g11,27.6079959772439
James Hall,DE,Michigan,5.03,81.28,,281.94,7.86,4.51,2000,187.96,122.923432,g2,g5,g8,g11,-11.283038401672
Troy Hambrick,RB,South Carolina,4.66,87.63,21,299.72,7.48,4.44,2000,182.88,107.501304,g3,g6,g8,g11,4.90888445679002
Joey Hamilton,WR,Jacksonville State,4.54,91.44,,294.64,7.57,4.41,2000,185.42,91.171992,g3,g6,g7,g12,20.1443281372373
Thomas Hamner,RB,Minnesota,4.5,81.28,17,317.5,6.97,4.07,2000,182.88,89.357624,g3,g6,g8,g11,22.5174920867359
Antwan Harris,CB,Virginia,4.34,99.06,16,307.34,6.75,4.01,2000,175.26,84.368112,g3,g6,g7,g12,29.1967687444831
Jeff Harris,CB,Georgia,4.53,87.63,,289.56,6.73,4.25,2000,182.88,86.18248,g3,g6,g7,g12,25.5989984219764
Lloyd Harrison,CB,North Carolina State,4.5,95.25,16,302.26,7.12,4.25,2000,177.8,86.18248,g3,g6,g7,g12,26.8236047949845
Windrell Hayes,WR,USC,4.5,,,,7.33,4.18,2000,180.34,92.532768,g3,g6,g7,g12,20.0482889379994
Semisi Heimuli,OG,Texas A&M,5.4,73.66,20,238.76,7.94,4.63,2000,185.42,141.520704,g1,g4,g9,g10,-28.7195580358625
Steve Herndon,OG,Georgia,5.23,,,,,,2000,193.04,134.716824,g1,g4,g9,g10,-23.9532397341449
Leroy Hodge,WR,Texas A&M,4.54,87.63,,294.64,7.14,4.21,2000,185.42,97.52228,g3,g6,g7,g12,13.9813154667562
Chris Hovan,DT,Boston Col.,4.99,76.2,35,256.54,6.85,4.16,2000,187.96,138.34556,g1,g4,g9,g10,-26.250354887126
Darren Howard,DE,Kansas State,5.09,73.66,,274.32,7,4.32,2000,193.04,127.459352,g2,g5,g8,g11,-16.9097966821666
Reggie Howard,CB,Memphis,4.55,,,,,,2000,180.34,86.18248,g3,g6,g7,g12,26.2113016084805
Ethan Howell,CB,Oklahoma State,4.56,,16,,6.98,4.13,2000,180.34,84.368112,g3,g6,g7,g12,27.9721623714751
Aaron Humphrey,DE,Texas,5.1,86.36,21,302.26,,,2000,190.5,115.212368,g2,g5,g8,g11,-4.41168334544909
Trevor Insley,WR,Nevada,4.7,,,,,,2000,182.88,87.089664,g3,g6,g7,g12,24.7185680404791
Junior Ioane,DT,Arizona State,5.12,,,,,,2000,190.5,146.963808,g1,g4,g9,g10,-35.2267466978544
Jabari Issa,DT,Washington,5.05,80.01,19,266.7,7.69,4.72,2000,195.58,134.263232,g1,g4,g9,g10,-24.1253277299003
Keith Jackson,DT,Cheyney,5.2,,28,,,,2000,193.04,144.695848,g1,g4,g9,g10,-33.6379739306152
Al Jackson,OG,LSU,5.2,,19,,,,2000,190.5,137.891968,g1,g4,g9,g10,-26.4224428828814
Darrell Jackson,WR,Florida,4.56,,,,,,2000,182.88,89.357624,g3,g6,g7,g12,22.5174920867359
Marlion Jackson,RB,Saginaw Valley State,4.6,90.17,24,317.5,7.15,4.14,2000,185.42,109.769264,g3,g6,g8,g11,2.09550531654276
Jeno James,OG,Auburn,5.62,64.77,24,238.76,8.51,5.22,2000,190.5,145.14944,g1,g4,g9,g10,-33.4658859348598
Ronney Jenkins,RB,Northern Arizona,4.5,,18,299.72,,,2000,177.8,83.460928,g3,g6,g8,g11,29.4648959394764
Brandon Jennings,S,Texas A&M,4.51,96.52,16,312.42,6.91,4.14,2000,182.88,89.811216,g3,g6,g7,g12,22.0772768959873
Ryan Johanningmeier,OG,Colorado,5.25,73.66,,271.78,7.9,4.66,2000,198.12,140.61352,g1,g4,g9,g10,-30.9006435868854
Matt Johnson,OG,BYU,5.56,71.12,35,251.46,8.07,4.99,2000,193.04,156.48924,g1,g4,g9,g10,-45.08356889008
Dwight Johnson,DT,Baylor,4.97,71.12,26,266.7,7.51,4.76,2000,193.04,129.27372,g1,g4,g9,g10,-18.6706574451612
Eric Johnson,S,Yale,4.6,96.52,12,307.34,6.96,4.17,2000,182.88,97.52228,g3,g6,g7,g12,14.5936186532603
Jerry Johnson,DT,Florida State,5.03,72.39,26,259.08,,,2000,182.88,132.902456,g1,g4,g9,g10,-19.7431662251342
Dwaune Jones,WR,Richmond,4.66,,,,,,2000,182.88,86.636072,g3,g6,g7,g12,25.1587832312278
Dhani Jones,OLB,Michigan,4.68,,29,,,,2000,185.42,108.86208,g2,g5,g8,g11,2.97593569804005
Fred Jones,OLB,Colorado,4.95,81.28,17,287.02,7.27,4.39,2000,187.96,112.037224,g2,g5,g8,g11,-0.717873823704517
John Jones,TE,Pittsburgh,4.63,97.79,13,317.5,7.33,4.43,2000,193.04,112.490816,g2,g5,g8,g11,-2.38269538746124
Thomas Jones,RB,Virginia,4.45,,,,,,2000,177.8,97.975872,g3,g6,g8,g11,15.3780098355197
Leander Jordan,OG,Indiana (PA),5.46,78.74,25,264.16,7.91,4.76,2000,193.04,149.68536,g1,g4,g9,g10,-38.4803410288503
Morgan Kane,RB,Wake Forest,4.62,95.25,29,307.34,6.81,4.16,2000,185.42,100.243832,g3,g6,g8,g11,11.3400243222643
Curtis Keaton,RB,West Virginia,4.41,105.41,23,332.74,6.82,3.93,2000,177.8,97.068688,g3,g6,g8,g11,16.258440217017
Tinker Keck,S,Cincinnati,4.55,92.71,15,304.8,6.96,4.31,2000,185.42,90.7184,g3,g6,g7,g12,20.5845433279859
Ben Kelly,CB,Colorado,4.53,91.44,17,294.64,6.63,3.95,2000,175.26,83.007336,g3,g6,g7,g12,30.5174143167291
Kenoy Kennedy,S,Arkansas,4.71,85.09,8,287.02,7.08,4.38,2000,185.42,100.243832,g3,g6,g7,g12,11.3400243222643
Sean Key,S,Florida State,4.65,,,,7.12,4.2,2000,180.34,85.275296,g3,g6,g7,g12,27.0917319899778
Erron Kinney,TE,Florida,4.9,,,,,,2000,198.12,123.377024,g2,g5,g8,g11,-14.1724663384369
Adrian Klemm,OT,Hawaii,4.98,,24,,,,2000,193.04,139.252744,g1,g4,g9,g10,-28.3553916416314
Andrew Kline,OG,San Diego State,5.43,71.12,26,261.62,7.54,4.6,2000,187.96,138.34556,g1,g4,g9,g10,-26.250354887126
Marcus Knight,WR,Michigan,4.72,72.39,,269.24,7.11,4.38,2000,185.42,81.64656,g3,g6,g7,g12,29.3888471429589
Noel LaMontagne,OG,Virginia,5.09,,21,,,,2000,193.04,135.624008,g1,g4,g9,g10,-24.8336701156422
Kareem Larrimore,CB,West Texas A&M,4.42,86.36,,317.5,,,2000,180.34,86.18248,g3,g6,g7,g12,26.2113016084805
Leif Larsen,DT,Texas-El Paso,5.08,76.2,45,279.4,7.46,4.37,2000,193.04,136.0776,g1,g4,g9,g10,-25.2738853063909
Charles Lee,WR,Central Florida,4.56,90.17,,317.5,7.3,4.25,2000,185.42,91.625584,g3,g6,g7,g12,19.7041129464886
Jamal Lewis,RB,Tennessee,4.58,,23,,,,2000,182.88,108.86208,g3,g6,g8,g11,3.5882388845441
Anthony Lucas,WR,Arkansas,4.53,88.9,,307.34,,,2000,190.5,87.996848,g3,g6,g7,g12,22.0012280994697
Al Lucas,DT,Troy,5,91.44,28,274.32,7.44,4.56,2000,185.42,133.356048,g1,g4,g9,g10,-20.7956846023869
Alton Lusk,WR,Central Oklahoma,4.61,92.71,,309.88,7.16,4.26,2000,187.96,82.553744,g3,g6,g7,g12,27.8961135749575
Dustin Lyman,ILB,Wake Forest,4.7,88.9,22,299.72,6.86,4.06,2000,193.04,117.480328,g2,g5,g8,g11,-7.22506248569636
David Macklin,CB,Penn State,4.54,95.25,,304.8,6.9,4.09,2000,175.26,87.996848,g3,g6,g7,g12,25.675047218494
Anthony Malbrough,CB,Texas Tech,4.44,90.17,20,297.18,6.73,4,2000,175.26,83.460928,g3,g6,g7,g12,30.0771991259804
Terrence McCaskey,TE,Mississippi State,5,73.66,,256.54,,,2000,195.58,122.923432,g2,g5,g8,g11,-13.1199479611842
Kevin McDougal,RB,Colorado State,4.63,81.28,,274.32,7.08,4.12,2000,180.34,93.439952,g3,g6,g8,g11,19.1678585565021
Stockar McDougle,OT,Oklahoma,5.5,,24,,,,2000,195.58,163.746712,g1,g4,g9,g10,-52.7393151285624
Chris McIntosh,OT,Wisconsin,5.39,,28,,,,2000,198.12,142.88148,g1,g4,g9,g10,-33.1017195406287
Damion McIntosh,OT,Kansas State,5.31,66.04,23,246.38,7.72,4.71,2000,193.04,148.778176,g1,g4,g9,g10,-37.599910647353
Alvin McKinley,DT,Mississippi State,5.09,69.85,22,259.08,7.73,4.61,2000,193.04,131.088088,g1,g4,g9,g10,-20.4315182081558
Rondell Mealey,RB,LSU,4.69,83.82,,304.8,6.89,4.15,2000,182.88,96.161504,g3,g6,g8,g11,15.9142642255062
Brad Meester,C,New Mexico,5.12,86.36,25,279.4,7.46,4.43,2000,190.5,135.170416,g1,g4,g9,g10,-23.7811517383895
Rob Meier,DE,Washington State,4.99,77.47,27,287.02,7.49,4.52,2000,195.58,128.820128,g2,g5,g8,g11,-18.8427454409166
Richard Mercier,OG,Miami (FL),5.39,66.04,18,246.38,7.84,4.78,2000,190.5,133.80964,g1,g4,g9,g10,-22.4605061661436
Keith Miller,ILB,California,4.97,69.85,24,279.4,7.37,4.43,2000,185.42,111.583632,g2,g5,g8,g11,0.334644553548169
Wendell Montgomery,WR,Wyoming,4.81,90.17,,297.18,7.01,4.24,2000,190.5,92.079176,g3,g6,g7,g12,18.0392913827319
Scottie Montgomery,WR,Duke,4.57,91.44,,297.18,7.16,4.11,2000,182.88,88.904032,g3,g6,g7,g12,22.9577072774845
Mookie Moore,OG,Troy,5.45,62.23,34,238.76,8.37,5.06,2000,190.5,145.14944,g1,g4,g9,g10,-33.4658859348598
Muneer Moore,WR,Richmond,4.52,95.25,,327.66,6.91,4.09,2000,185.42,91.171992,g3,g6,g7,g12,20.1443281372373
Corey Moore,OLB,Virginia Tech,4.6,,21,,,,2000,180.34,101.151016,g2,g5,g8,g11,11.6842003137751
Frank Moreau,RB,Louisville,4.57,91.44,23,297.18,,,2000,185.42,104.779752,g3,g6,g8,g11,6.93787241477786
Aric Morris,S,Michigan State,4.56,,24,,,,2000,175.26,95.707912,g3,g6,g7,g12,18.191388975767
Rob Morris,ILB,BYU,4.77,83.82,18,287.02,6.93,4.17,2000,187.96,113.398,g2,g5,g8,g11,-2.03851939595046
Sylvester Morris,WR,Jackson State,4.6,87.63,,302.26,7.06,4.17,2000,190.5,97.975872,g3,g6,g7,g12,12.3164939029995
Chad Morton,RB,USC,4.5,91.44,18,307.34,,,2000,172.72,82.553744,g3,g6,g8,g11,31.5699326939818
Bobby Myers,S,Wisconsin,4.56,95.25,,312.42,7.04,4.1,2000,185.42,83.007336,g3,g6,g7,g12,28.0682015707129
Kaulana Noa,OT,Hawaii,5.34,64.77,27,248.92,7.82,4.74,2000,193.04,143.788664,g1,g4,g9,g10,-32.7575435491179
Dennis Northcutt,WR,Arizona,4.43,95.25,,312.42,6.96,4.04,2000,177.8,79.3786,g3,g6,g7,g12,33.4268326562142
